bool apache_child_terminate ();このリクエストの後にApacheプロセスを終了する
array ifx_fieldproperties ( int result_id );SQL フィールドプロパティのリスト
array ifx_fieldtypes ( int result_id );Informix SQL フィールドのリスト
int ifx_free_blob ( int bid );BLOB オブジェクトを削除する
int ifx_free_char ( int bid );文字オブジェクトを削除する
int ifx_free_result ( int result_id );クエリーに関するリソースを解放する
int ifx_get_blob ( int bid );BLOB オブジェクトの内容を返す
int ifx_get_char ( int bid );文字オブジェクトの内容を返す
array ifx_getsqlca ( int result_id );クエリ実行後、sqlca.sqlerrd[0..5] の値を得る
int ifx_htmltbl_result ( int result_id , string [html_table_options] );クエリー結果の全行を HTML テーブルにフォーマットする
void ifx_nullformat ( int mode );S取得する行のデフォルトの返り値を設定する
int ifx_num_fields ( int result_id );クエリーのカラム数を返します
int ifx_num_rows ( int result_id );クエリーから既に取得された行の数を数える
int ifx_pconnect ( string [database] , string [userid] , string [password] );持続的 Informix 接続をオープンする
int ifx_prepare ( string query , int conn_id , int [cursor_def] , mixed blobidarray );SQL 文を実行用に準備する
int ifx_query ( string query , int [link_identifier] , int [cursor_type] , mixed [blobidarray] );Informix クエリーを送信する
void ifx_textasvarchar ( int mode );デフォルトのテキストモードを設定する
ifx_update_blob ( int bid , string content );BLOB オブジェクトの内容を更新する
int ifx_update_char ( int bid , string content );文字オブジェクトの内容を更新する
int ifxus_close_slob ( int bid );SLOB オブジェクトを削除する
int ifxus_create_slob ( int mode );SLOB オブジェクトを作成し、オープンする
int ifxus_free_slob ( int bid );SLOB オブジェクトを削除する
int ifxus_open_slob ( long bid , int mode );SLOB オブジェクトをオープンする
int ifxus_read_slob ( long bid , long nbytes );SLOB オブジェクトから n バイト読みこむ
int ifxus_seek_slob ( long bid , int mode , long offset );現在のファイル位置またはシーク位置を返す
int ifxus_tell_slob ( long bid );カレントのファイルまたはシーク位置を返す
int ifxus_write_slob ( long bid , string content );SLOB オブジェクトに文字列を書きこむ
int iis_add_server ( string path , string comment , string server_ip , int port , string host_name , int rights , int start_server );新規に仮想Webサーバを作成する
int iis_get_dir_security ( int server_instance , string virtual_path );ディレクトリのセキュリティを取得する
int iis_get_script_map ( int server_instance , string virtual_path , string script_extension );指定した拡張子に関して仮想ディレクトリにおけるスクリプトマッピングを取得する
int iis_get_server_by_comment ( string comment );指定したコメントのインスタンス番号を返す
int iis_get_server_by_path ( string path );指定したパスのインスタンス番号を返す
int iis_get_server_rights ( int server_instance , string virtual_path );サーバの権限を取得する
int iis_get_service_state ( string service_id );サービスID指定したサービスの状態を取得する
int iis_remove_server ( int server_instance );サーバインスタンスで指定した仮想Webサーバを削除する
int iis_set_app_settings ( int server_instance , string virtual_path , string application_scope );仮想ディレクトリでのアプリケーションスコープを作成する
int iis_set_dir_security ( int server_instance , string virtual_path , int directory_flags );ディレクトリのセキュリティを設定する
int iis_set_script_map ( int server_instance , string virtual_path , string script_extension , string engine_path , int allow_scripting );仮想ディレクトリにスクリプトマッピングを設定する
int iis_set_server_rights ( int server_instance , string virtual_path , int directory_flags );サーバの権限を設定する
int iis_start_server ( int server_instance );仮想Webサーバを起動する
int iis_start_service ( string service_id );サービスIDで指定したサービスを起動する
int iis_stop_server ( int server_instance );仮想Webサーバを停止する
int iis_stop_service ( string service_id );サービスIDで指定したサービスを停止する
int exif_imagetype ( string filename );イメージの型を定義する
array exif_read_data ( string filename , [ string sections ] , [ bool arrays ] , [ bool thumbnail ] );JPEGまたはTIFFからEXIFヘッダを読みこむ
string exif_thumbnail ( string filename , [ int &width ] , [ int &height ] , [ int &imagetype ] );TIFFまたはJPEGイメージに埋め込まれたサムネイルを取得する
array gd_info ();現在インストールされているGDライブラリに関する情報を取得する
array getimagesize ( string filename , [ array imageinfo ] );画像の大きさを取得する
string image_type_to_mime_type ( int imagetype );getimagesize, exif_read_data, exif_thumbnail, exif_imagetypeから返される画像形式のMIMEタイプを取得する
int image2wbmp ( int im , [ string filename ] , [ int threshold ] );ブラウザまたはファイルにイメージを出力する
int imagealphablending ( resource im , bool blendmode );イメージをblendingモードに設定する
bool imageantialias ( int im , bool on );アンチエイリアス機能を使用すべきかどうかを判断する
int imagearc ( int im , int cx , int cy , int w , int h , int s , int e , int color );部分楕円の描画
int imagechar ( int im , int font , int x , int y , string c , int color );水平に文字を描画
int imagecharup ( resource image , int font , int x , int y , string c , int color );垂直に文字を描画
int imagecolorallocate ( resource image , int red , int green , int blue );画像で使用する色を作成する
int imagecolorallocatealpha ( resource image , int red , int green , int blue , int alpha );画像で使用する色を透過度を指定して作成する
int imagecolorat ( int image , int x , int y );ピクセルの色のインデックスを取得
int imagecolorclosest ( int image , int red , int green , int blue );指定した色に最も近い色のインデックスを取得する
int imagecolorclosestalpha ( resource image , int red , int green , int blue , int alpha );指定した色+アルファ値に最も近い色のIDを取得
int imagecolorclosesthwb ( resource image , int red , int green , int blue );指定した色に最も近い色合い、白、黒を有する色のインデックスを得る
int imagecolordeallocate ( resource image , int color );イメージの色リソースを開放する
int imagecolorexact ( resource image , int red , int green , int blue );指定した色のインデックスを取得する
int imagecolorexactalpha ( resource image , int red , int green , int blue , int alpha );指定した色+アルファ値のIDを取得
bool imagecolormatch ( resource image1 , resource image2 );パレットイメージの色をTrueカラーイメージに近づける
int imagecolorresolve ( int im , int red , int green , int blue );指定した色または出来るだけ近い色のインデックスを得る
int imagecolorresolvealpha ( resource image , int red , int green , int blue , int alpha );指定した色+アルファ値または最も近い色のIDを取得する
bool imagecolorset ( resource image , int index , int red , int green , int blue );指定したパレットインデックスの色を設定する
array imagecolorsforindex ( resource image , int index );カラーインデックスからカラーの取得
int imagecolorstotal ( resource image );画像パレットの色数の検出
int imagecolortransparent ( resource image , [ int color ] );透明色の定義
int imagecopy ( resource dst_im , resource src_im , int dst_x , int dst_y , int src_x , int src_y , int src_w , int src_h );画像の一部をコピーする
int imagecopymerge ( resource dst_im , resource src_im , int dst_x , int dst_y , int src_x , int src_y , int src_w , int src_h , int pct );イメージの一部をコピー、マージする
int imagecopymergegray ( resource dst_im , resource src_im , int dst_x , int dst_y , int src_x , int src_y , int src_w , int src_h , int pct );グレースケールでイメージの一部をコピー、マージする
int imagecopyresampled ( resource dst_im , resource src_im , int dstX , int dstY , int srcX , int srcY , int dstW , int dstH , int srcW , int srcH );再サンプリングを行いイメージの一部をコピー、伸縮する
int imagecopyresized ( resource dst_im , resource src_im , int dstX , int dstY , int srcX , int srcY , int dstW , int dstH , int srcW , int srcH );画像の一部の複製とサイズ変更
int imagecreate ( int x_size , int y_size );パレットを使用する新規画像の作成
int imagecreatefromgd ( string filename );GDファイルまたはURLから新規イメージを生成する
int imagecreatefromgd2 ( string filename );GD2ファイルまたはURLから新規イメージを生成する
int imagecreatefromgd2part ( string filename , int srcX , int srcY , int width , int height );GD2ファイルまたはURLの指定した部分から新規イメージを生成する
int imagecreatefromgif ( string filename );ファイルまたはURLから新規画像を作成
int imagecreatefromjpeg ( string filename );ファイル又はURLから新規JPEG画像を作成する
int imagecreatefrompng ( string filename );ファイルまたはURLから新規PNG画像を作成する
int imagecreatefromstring ( string image );文字列の中のイメージストリームから新規イメージを作成する
int imagecreatefromwbmp ( string filename );ファイルまたはURLから新規イメージを作成する
int imagecreatefromxbm ( string filename );ファイル又はURLから新規イメージを生成する
int imagecreatefromxpm ( string filename );ファイルまたはURLから新規イメージを生成する
resource imagecreatetruecolor ( int x_size , int y_size );TrueColorイメージを新規に作成する
int imagedashedline ( int im , int x1 , int y1 , int x2 , int y2 , int col );ダッシュライン(破線)の描画
int imagedestroy ( resource image );画像の消去
int imageellipse ( resource image , int cx , int cy , int w , int h , int color );楕円を描画する
int imagefill ( resource image , int x , int y , int color );塗り潰し
int imagefilledarc ( resource image , int cx , int cy , int w , int h , int s , int e , int color , int style );部分楕円を描画し、塗りつぶす
int imagefilledellipse ( resource image , int cx , int cy , int w , int h , int color );塗りつぶされた楕円を描画する
int imagefilledpolygon ( resource image , array points , int num_points , int color );塗りつぶした多角形の描画
int imagefilledrectangle ( resource image , int x1 , int y1 , int x2 , int y2 , int color );塗りつぶした矩形の描画
int imagefilltoborder ( resource image , int x , int y , int border , int color );特定色での塗りつぶし
int imagefontheight ( int font );フォントの高さの取得
int imagefontwidth ( int font );フォントの幅の取得
array imageftbbox ( int size , int angle , string font_file , string text , [ array extrainfo ] );freetype2によるフォントを用いたテキストを囲む箱を取得する
array imagefttext ( int im , int size , int angle , int x , int y , int col , string font_file , string text , [ array extrainfo ] );FreeType 2によるフォントを用いてイメージにテキストを描画する
int imagegammacorrect ( int image , float inputgamma , float outputgamma );GDイメージにガンマ補正を適用する
int imagegd ( resource image , [ string filename ] );GDイメージをブラウザまたはファイルに出力する
int imagegd2 ( resource image , [ string filename ] , [ int chunk_size ] , [ int type ] );GD2イメージをブラウザまたはファイルに出力する
bool imagegif ( resource image , [ string filename ] );ブラウザーまたはファイルへ画像を出力する
int imageinterlace ( resource image , [ int interlace ] );インターレースを有効もしくは無効にする
bool imageistruecolor ( resource image );画像がtrueカラーかどうか調べる
int imagejpeg ( resource image , [ string filename ] , [ int quality ] );画像をブラウザまたはファイルに出力する
int imageline ( resource image , int x1 , int y1 , int x2 , int y2 , int color );直線の描画
int imageloadfont ( string file );新規フォントのロード
int imagepalettecopy ( resource destination , resource source );あるイメージから他のイメージにパレットをコピーする
int imagepng ( resource image , [ string filename ] );PNGイメージをブラウザまたはファイルに出力する
int imagepolygon ( resource image , array points , int num_points , int color );多角形の描画
array imagepsbbox ( string text , int font , int size , [ int space ] , [ int tightness ] , [ float angle ] );PostScript Type1 フォントを用いてテキスト矩形のバウンディングボックスを指定する
int imagepscopyfont ( int fontindex );後で修正するためにロード済みのフォントのコピーを作成する
int imagepsencodefont ( int font_index , string encodingfile );フォントの文字エンコードベクトルを変更する
bool imagepsextendfont ( int font_index , float extend );フォントを展開または圧縮する
void imagepsfreefont ( int fontindex );PostScript Type 1 フォント用メモリを解放する
int imagepsloadfont ( string filename );ファイルから PostScript Type 1 フォントをロードする
bool imagepsslantfont ( int font_index , float slant );フォントを傾ける
array imagepstext ( resource image , string text , int font , int size , int foreground , int background , int x , int y , [ int space ] , [ int tightness ] , [ float angle ] , [ int antialias_steps ] );PostScript Type1 フォントを用いて画像の上に文字列を描く
int imagerectangle ( int image , int x1 , int y1 , int x2 , int y2 , int col );矩形の描画
resource imagerotate ( resource src_im , float angle , int bgd_color );指定された角度で画像を回転する
int imagesetbrush ( resource image , resource brush );線の描画用にブラシイメージを設定する
int imagesetpixel ( resource image , int x , int y , int color );点の生成
int imagesetstyle ( resource im , array style );線描画用のスタイルを設定する
void imagesetthickness ( resource image , int thickness );線描画用の線幅を設定する
int imagesettile ( resource image , resource tile );塗りつぶし用のイメージを設定する
int imagestring ( int image , int font , int x , int y , string s , int col );文字列を水平に描画する
int imagestringup ( int image , int font , int x , int y , string s , int col );文字列を垂直に描画する
int imagesx ( resource image );画像の幅を取得
int imagesy ( resource image );画像の高さを取得する
void imagetruecolortopalette ( resource im , bool dither , int ncolors );TrueColorイメージをパレットイメージに変換する
array imagettfbbox ( int size , int angle , string fontfile , string text );TypeTypeフォントを使用したテキストのbounding boxの生成
array imagettftext ( resource image , int size , int angle , int x , int y , int color , string fontfile , string text );TrueTypeフォントを使用したテキストの出力
int imagetypes ();使用中のPHPの実行ファイルでサポートされているイメージの型を返す
int imagewbmp ( resource image , [ string filename ] , [ int foreground ] );ブラウザまたはファイルにイメージを出力する
array iptcembed ( string iptcdata , string jpeg_file_name , [ int spool ] );バイナリIPTCデータをJPEGイメージに埋めこむ
array iptcparse ( string iptcblock );バイナリのIPTChttp://www.IPTC.org/ブロックをパースする
int jpeg2wbmp ( string jpegname , string wbmpname , int d_height , int d_width , int threshold );JPEGイメージファイルからWBMPイメージファイルに変換する
int png2wbmp ( string pngname , string wbmpname , int d_height , int d_width , int threshold );PNGイメージファイルからWBMPイメージファイルに変換する
string imap_8bit ( string string );8bit 文字列を quoted-printable 文字列に変換する
array imap_alerts ();ページリクエストの間または最後にスタックがリセットされて以来発生した全てのIMAP警告メッセージを返す
int imap_append ( int imap_stream , string mbox , string message , string [flags] );指定されたメールボックスに文字列メッセージを追加する
string imap_base64 ( string text );BASE64 でエンコードされたテキストのデコード
string imap_binary ( string string );8ビット文字列をbase64文字列に変換する
string imap_body ( int imap_stream , int msg_number , int [flags] );メッセージ本文を読む
object imap_bodystruct ( int stream_id , int msg_no , int section );指定したメッセージの指定したbodyセクションの構造を読み込む
object imap_check ( int imap_stream );現在のメールボックスをチェックする
string imap_clearflag_full ( int stream , string sequence , string flag , string options );メッセージのフラグをクリアする
int imap_close ( int imap_stream , int [flags] );IMAP ストリームをクローズする
int imap_createmailbox ( int imap_stream , string mbox );新しいメールボックスを作る
int imap_delete ( int imap_stream , int msg_number , int [flags] );現在のメールボックスから削除するメッセージに印を付ける
int imap_deletemailbox ( int imap_stream , string mbox );メールボックスを削除する
array imap_errors ();ページのリクエストの間かエラースタックがリセットされて以来生じた全てのIMAPエラーを返す
int imap_expunge ( int imap_stream );削除用にマークされたすべてのメッセージを削除する
array imap_fetch_overview ( int imap_stream , string sequence );指定したメッセージのヘッダ情報の概要を読む
string imap_fetchbody ( int imap_stream , int msg_number , string part_number , flags [flags] );メッセージ本文中の特定のセクションを取り出す
string imap_fetchheader ( int imap_stream , int msgno , int flags );メッセージのヘッダを返す
object imap_fetchstructure ( int imap_stream , int msg_number , int [flags] );特定のメッセージの構造を読み込む
array imap_get_quota ( int imap_stream , string quota_root );クオータレベルの設定、メールボックス毎の使用状況を取得する
array imap_getmailboxes ( int imap_stream , string ref , string pattern );メールボックスのリストを読み込み、各ボックスに関する詳細な情報を返す
array imap_getsubscribed ( int imap_stream , string ref , string pattern );購読中の全メールボックスの一覧
object imap_header ( int imap_stream , int msg_number , int [fromlength] , int [subjectlength] , string [defaulthost] );メッセージのヘッダを読む
object imap_headerinfo ( int imap_stream , int msg_number , int [fromlength] , int [subjectlength] , string [defaulthost] );メッセージヘッダを読み込む
array imap_headers ( int imap_stream );メールボックス内の、すべてのメッセージのヘッダを返す
string imap_last_error ();ページリクエスト時に生じた直近の IMAP エラーを返す
array imap_listmailbox ( int imap_stream , string ref , string pattern );メールボックスのリストを読む
array imap_listsubscribed ( int imap_stream , string ref , string pattern );購読中のすべてのメールボックス一覧
string imap_mail_compose ( array envelope , array body );指定したエンベロープおよびボディーセクションに基づきMIMEメッセージを作成
int imap_mail_copy ( int imap_stream , string msglist , string mbox , int [flags] );指定されたメッセージをメールボックスにコピーする
int imap_mail_move ( int imap_stream , string msglist , string mbox , int [flags] );指定されたメッセージをメールボックスに移動する
string imap_mail ( string to , string subject , string message , string [additional_headers] , string [cc] , string [bcc] , string [rpath] );e-mailメッセージを送信する
object imap_mailboxmsginfo ( int imap_stream );現在のメールボックスに関する情報を得る
array imap_mime_header_decode ( string text );MIMEヘッダーエレメントをデコードする
int imap_msgno ( int imap_stream , int uid );指定したUIDのメッセージ番号を返す
int imap_num_msg ( int stream_id );現在のメールボックスのメッセージ数を取得する
int imap_num_recent ( int imap_stream );現在のメールボックスにある新規メッセージの数の取得
int imap_open ( string mailbox , string username , string password , int [flags] );メールボックスへのIMAPストリームをオープンする
int imap_ping ( int imap_stream );IMAP ストリームの有効性チェック
int imap_popen ( string mailbox , string user , string password , [ int options ] );mailboxへの持続的なIMAPストリームをオープンする
string imap_qprint ( string string );quoted-printable 文字列を 8 ビット文字列に変換する
int imap_renamemailbox ( int imap_stream , string old_mbox , string new_mbox );メールボックスの名前を変更する
int imap_reopen ( int imap_stream , string mailbox , string [flags] );新規メールボックスへのIMAP ストリームを再度オープンする
array imap_rfc822_parse_adrlist ( string address , string default_host );アドレス文字列を解釈します
object imap_rfc822_parse_headers ( string headers , string [defaulthost] );文字列からメールヘッダを解釈する
string imap_rfc822_write_address ( string mailbox , string host , string personal );指定したメールボックス、ホスト、個人情報を適当にフォーマットされた電子メールアドレスにして返す
array imap_scanmailbox ( int imap_stream , string ref , string pattern , string content );メールボックスのリストを読み、メールボックスのテキストにおいて文字列を検索する
array imap_search ( int imap_stream , string criteria , int flags );指定した検索条件にマッチするメッセージを配列として返す
int imap_set_quota ( int imap_stream , string quota_root , int quota_limit );指定したメールボックスにクオータを設定する
int imap_setacl ( int stream_id , string mailbox , string id , string rights );指定したメールボックスのACLを設定する
string imap_setflag_full ( int stream , string sequence , string flag , string options );メッセージにフラグをセットする
array imap_sort ( int stream , int criteria , int reverse , int options );
object imap_status ( int imap_stream , string mailbox , int options );現在のメールボックス以外のメールボックスのステータス情報を返す
int imap_subscribe ( int imap_stream , string mbox );メールボックスの購読
int imap_thread ( int stream_id , [ int flags ] );REFERENCESツリーによりスレッド化して返す
int imap_uid ( int imap_stream , int msgno );指定したメッセージシーケンス番号の UID を返す
int imap_undelete ( int imap_stream , int msg_number );削除マークがついているメッセージのマークをはずす
int imap_unsubscribe ( int imap_stream , string mbox );メールボックスの購読をやめる
string imap_utf7_decode ( string text );修正版UTF-7 エンコードされた文字列をデコードする
string imap_utf7_encode ( string data );8ビットデータを修正版UTF-7テキストにに変換する
string imap_utf8 ( string text );テキストをUTF8に変換する
mixed assert_options ( int what , [ mixed value ] );様々な assert フラグを設定/取得する
int assert ( mixed assertion );assertion が FALSE であるかどうかを調べる
int dl ( string library );実行時にPHP拡張モジュールをロードする
bool extension_loaded ( string name );ある拡張機能がロードされているかどうかを調べる
string get_cfg_var ( string varname );PHP 設定オプションの値を取得する
string get_current_user ();現在の PHP スクリプトの所有者の名前を取得する
array get_defined_constants ();全ての定数の名前とその値を連想配列として返す
array get_extension_funcs ( string module_name );あるモジュールの関数名を配列として返す
string get_include_path ();現在のinclude_path設定オプションを取得する
array get_included_files ();includeまたはrequireで読み込まれたファイルの名前を配列として返す
array get_loaded_extensions ();コンパイル/ロードされている全てのモジュールの名前を配列として返す
long get_magic_quotes_gpc ();magic quotes gpc の現在アクティブな設定を得る
int get_magic_quotes_runtime ();magic_quotes_runtime の現在アクティブな設定値を得ます
string getenv ( string varname );環境変数の値を取得する
int getlastmod ();最終ページ更新時刻を取得する
int getmygid ();PHPスクリプトの所有者のGIDを得る
int getmyinode ();現在のスクリプトの i ノードを取得する
int getmypid ();PHP のプロセス ID を取得する
int getmyuid ();PHP スクリプト所有者のユーザ ID を取得する
string getopt ( string options );コマンドラインの引数リストからオプションを取得する
array getrusage ( [ int who ] );カレントリソースの使用に関する情報を得る
array ini_get_all ( [ string extension ] );全ての設定オプションを得る
string ini_get ( string varname );設定オプションの値を得る
void ini_restore ( string varname );設定オプションの値を元に戻す
string ini_set ( string varname , string newvalue );設定オプションの値を設定する
int memory_get_usage ();PHPに割り当てられたメモリの量を返す
string php_ini_scanned_files ();追加のiniディレクトリにある.iniファイルのリストを取得する
string php_logo_guid ();ロゴのguidを取得する
string php_sapi_name ();WebサーバーとPHPの間のインターフェースの型を返す
string php_uname ();PHPが構築されたオペレーションシステムに関する情報を返す
void phpcredits ( int flag );PHPに関するクレジットを出力する
int phpinfo ( [ int what ] );いろいろな PHP 情報を出力する
string phpversion ();現在のPHPバージョンを取得する
void putenv ( string setting );環境変数の値を設定する
void restore_include_path ();include_path設定オプションの値を元に戻す
string set_include_path ( string new_include_path );include_path設定オプションをセットする
bool set_magic_quotes_runtime ( int new_setting );magic_quotes_runtime の現在アクティブな設定を設定します。
void set_time_limit ( int seconds );実行時間の最大値を制限します
int version_compare ( string version1 , string version2 , [ string operator ] );二つの"PHP標準"バージョン番号文字列を比較する
string zend_logo_guid ();zend guid を取得する
string zend_version ();カレントのZendエンジンのバージョンを取得する
bool ingres_autocommit ( resource [link] );autocommitをオンまたはオフに切替える
bool ingres_close ( resource [link] );Ingres II データベース接続を閉じる
bool ingres_commit ( resource [link] );トランザクションをコミットする
resource ingres_connect ( string [database] , string [username] , string [password] );Ingres II データベースへの接続をオープンする
array ingres_fetch_array ( int [result_type] , resource [link] );1行分の結果を配列に取得する
object ingres_fetch_object ( int [result_type] , resource [link] );1行分の結果をオブジェクトとして取得する
array ingres_fetch_row ( resource [link] );1行分の結果を数値添字配列として取得する
int ingres_field_length ( int index , resource [link] );フィールド長を得る
string ingres_field_name ( int index , resource [link] );クエリ結果においてフィールド名を得る
bool ingres_field_nullable ( int index , resource [link] );フィールドにNULL値を設定可能かどうか調べる
int ingres_field_precision ( int index , resource [link] );フィールドの精度を得る
int ingres_field_scale ( int index , resource [link] );フィールドのスケールを得る
string ingres_field_type ( int index , resource [link] );クエリ結果においてフィールドの型を得る
int ingres_num_fields ( resource [link] );直近のクエリにより返されたフィールドの数を得る
int ingres_num_rows ( resource [link] );直近のクエリで作用されたレコードの数を取得し、返す
resource ingres_pconnect ( string [database] , string [username] , string [password] );Ingres II データベースへの持続的接続をオープンする
bool ingres_query ( string query , resource [link] );Ingres II にSQLクエリを送信する
bool ingres_rollback ( resource [link] );トランザクションをロールバックする
boolean ircg_channel_mode ( resource connection , string channel , string mode_spec , string nick );ユーザ用にチャンネルモードフラグを設定する
boolean ircg_disconnect ( resource connection , string reason );サーバへの接続を閉じる
array ircg_fetch_error_msg ( resource connection );以前のircg処理からエラーを返す
string ircg_get_username ( int connection );接続用にユーザ名を取得する
boolean ircg_html_encode ( string html_string );HTMLで保存された文字列をエンコードする
boolean ircg_ignore_add ( resource connection , string nick );サーバ上の除外リストにユーザを追加する
boolean ircg_ignore_del ( resource connection , string nick );サーバ上の除外リストからユーザを削除する
boolean ircg_is_conn_alive ( resource connection );接続ステータスを確認する
boolean ircg_join ( resource connection , string channel );接続中のサーバ上でチャンネルに接続する
boolean ircg_kick ( resource connection , string channel , string nick , string reason );サーバ上のチャネルからユーザを排除する
boolean ircg_lookup_format_messages ( string name );IRCメッセージの表示用文字列フォーマットの設定を選択する
boolean ircg_msg ( resource connection , string recipient , string message , [ boolean suppress ] );サーバ上のチャンネルまたはユーザにメッセージを送信する
boolean ircg_nick ( resource connection , string nick );サーバ上のニックネームを変更する
string ircg_nickname_escape ( string nick );ニックネームの中の特別な文字がIRC互換となるようにデコードする
string ircg_nickname_unescape ( string nick );エンコードされたニックネームをデコードする
boolean ircg_notice ( resource connection , string , string message );サーバ上のユーザに通知を送信する
boolean ircg_part ( resource connection , string channel );サーバ上のチャンネルから離脱する
resource ircg_pconnect ( string username , [ string server_ip ] , [ int server_port ] , [ string msg_format ] , [ array ctcp_messages ] , [ array user_settings ] );IRCサーバに接続する
boolean ircg_register_format_messages ( string name , array messages );IRCメッセージの表示用文字列フォーマットの設定を登録する
boolean ircg_set_current ( resource connection );出力用にカレントの接続を設定する
bool ircg_set_file ( int connection , string path );接続用にログファイルを設定する
bool ircg_set_on_die ( int connection , string host , int port , string data );接続が終了する際にホスト側で実行されるアクションを設定する
boolean ircg_topic ( resource connection , string channel , string new_topic );サーバ上のチャネル用にトピックを設定する
boolean ircg_whois ( resource connection , string nick );サーバ上のニックネームからユーザ情報を検索する
void java_last_exception_clear ();直近の例外をクリアする
exception java_last_exception_get ();直近のJava例外を取得する
string ldap_8859_to_t61 ( string value );8859文字をt61文字に変換する
int ldap_add ( int link_identifier , string dn , array entry );LDAP ディレクトリにエントリを付加する
int ldap_bind ( int link_identifier , string [bind_rdn] , string [bind_password] );LDAP ディレクトリにバインドする
int ldap_close ( int link_identifier );LDAP サーバーへのリンクを閉じる
int ldap_compare ( int link_identifier , string dn , string attribute , string value );DNで指定したエントリで見付かった属性の値を比較する
int ldap_connect ( string [hostname] , int [port] );LDAP サーバーへ接続する
int ldap_count_entries ( int link_identifier , int result_identifier );サーチ時のエントリ数をカウントする
int ldap_delete ( int link_identifier , string dn );ディレクトリからエントリを削除する
string ldap_dn2ufn ( string dn );DN をユーザに分かりやすい名前のフォーマットに変換する
string ldap_err2str ( int errno );LDAP のエラー番号をエラーメッセージ文字列に変換する
int ldap_errno ( int link_id );直近の LDAP コマンドのLDAP エラー番号を返す
string ldap_error ( int link_id );直近のLDAPコマンドのLDAP エラーメッセージを返す
array ldap_explode_dn ( string dn , int with_attrib );DN を構成要素毎に分割する
string ldap_first_attribute ( int link_identifier , int result_entry_identifier , int ber_identifier );最初の属性を返す
int ldap_first_entry ( int link_identifier , int result_identifier );最初の結果 ID を返す
int ldap_first_reference ( int link , int result );最初のリファレンスを返す
int ldap_free_result ( int result_identifier );結果メモリを開放する
array ldap_get_attributes ( int link_identifier , int result_entry_identifier );サーチ結果エントリから属性を得る
string ldap_get_dn ( int link_identifier , int result_entry_identifier );結果エントリから DN を得る
array ldap_get_entries ( int link_identifier , int result_identifier );全ての結果エントリを得る
boolean ldap_get_option ( int link_identifier , int option , mixed retval );指定したオプションの現在の値を得る
array ldap_get_values_len ( int link_identifier , int result_entry_identifier , string attribute );結果エントリから全てのバイナリ値を得る
array ldap_get_values ( int link_identifier , int result_entry_identifier , string attribute );結果エントリから全ての値を得る
int ldap_list ( int link_identifier , string base_dn , string filter , array [attributes] , int [attrsonly] , int [sizelimit] , int [timelimit] , int [deref] );シングルレベル探索を行う
int ldap_mod_add ( int link_identifier , string dn , array entry );現在の属性に属性を追加する
int ldap_mod_del ( int link_identifier , string dn , array entry );現在の属性から属性を削除する
int ldap_mod_replace ( int link_identifier , string dn , array entry );属性を新規の値に置換する
int ldap_modify ( int link_identifier , string dn , array entry );LDAP エントリを修正する
string ldap_next_attribute ( int link_identifier , int result_entry_identifier , int ber_identifier );結果における次の属性を得る
int ldap_next_entry ( int link_identifier , int result_entry_identifier );次の結果エントリを得る
int ldap_next_reference ( int link , int entry );次のリファレンスを得る
boolean ldap_parse_reference ( int link , int entry , array referrals );参照エントリかえあ情報を展開する
boolean ldap_parse_result ( int link , int result , int errcode , string matcheddn , string errmsg , array referrals );結果から情報を展開する
int ldap_read ( int link_identifier , string base_dn , string filter , array [attributes] , int [attrsonly] , int [sizelimit] , int [timelimit] , int [deref] );エントリを読み込む
boolean ldap_rename ( int link_identifier , string dn , string newrdn , string newparent , boolean deleteoldrdn );エントリ名を修正する
int ldap_search ( int link_identifier , string base_dn , string filter , array [attributes] , int [attrsonly] , int [sizelimit] , int [timelimit] , int [deref] );LDAP ツリーを探索する
bool ldap_set_option ( int link_identifier , int option , mixed newval );指定したオプションの値を設定する
int ldap_set_rebind_proc ( int link , string callback );参照先を再バインドするためのコールバック関数を設定する
int ldap_sort ( int link , int result , string sortfilter );LDAP結果エントリをソートする
int ldap_start_tls ( int link );TLSを開始する
string ldap_t61_to_8859 ( string value );t61文字を8859文字に変換する
int ldap_unbind ( int link_identifier );LDAP ディレクトリへのバインドを解除する
void libxml_clear_errors ();libxmlエラーハンドラをクリアする
array libxml_get_errors ();エラー配列を取得する
LibXMLError libxml_get_last_error ();libxmlから直近のエラーを取得する
void libxml_set_streams_context ( resource streams_context );次のlibxmlドキュメントの読込／書きこみのためにストリームコンテキストを設定する
bool libxml_use_internal_errors ( [ bool use_errors ] );libxmlエラーを無効にし、ユーザが必要に応じてエラー情報を取得できるようにする
string lzf_compress ( string arg );LZF圧縮を行う
string lzf_decompress ( string arg );LZF圧縮を解凍する
int lzf_optimized_for ();LZF拡張モジュールの最適化指定を取得する
int ezmlm_hash ( string addr );EZMLMで必要なハッシュ値を計算する
bool mail ( string to , string subject , string message , [ string additional_headers ] , [ string additional_parameters ] );メールの送信
int mailparse_determine_best_xfer_encoding ( resource fp );ファイルポインタから内容を読み込む際に最も適したエンコーディングを定義する
int mailparse_msg_create ();メッセージをパースするために使用可能なハンドルを返す
string mailparse_msg_extract_part_file ( resource rfc2045 , string filename , [ string callbackfunc ] );メッセージセクションを展開/デコードし、transfer encodingをデコードする
